time,speed,phonePressure
2022-11-22T08:47:14.432-07:00,0.09223937,86.85799
2022-11-22T08:47:14.762-07:00,0.09223937,86.85755
2022-11-22T08:47:15.098-07:00,0,86.85755
2022-11-22T08:47:15.422-07:00,0,86.85755
2022-11-22T08:47:15.752-07:00,0,86.85681
2022-11-22T08:47:16.082-07:00,0.08050462,86.85681
2022-11-22T08:47:16.420-07:00,0.08050462,86.85681
2022-11-22T08:47:16.742-07:00,0.08050462,86.85681
2022-11-22T08:47:17.072-07:00,0.08352246,86.85619
2022-11-22T08:47:17.402-07:00,0.08352246,86.85619
2022-11-22T08:47:17.732-07:00,0.08352246,86.85619
2022-11-22T08:47:18.062-07:00,0,86.85577
2022-11-22T08:47:18.393-07:00,0,86.85577
2022-11-22T08:47:18.723-07:00,0,86.85577
2022-11-22T08:47:19.062-07:00,0,86.85548
2022-11-22T08:47:19.383-07:00,0,86.85548
2022-11-22T08:47:19.713-07:00,0,86.85548
2022-11-22T08:47:20.043-07:00,0,86.85548
2022-11-22T08:47:20.379-07:00,0,86.85548
2022-11-22T08:47:20.703-07:00,0,86.85548
2022-11-22T08:47:21.033-07:00,0,86.85548
2022-11-22T08:47:21.363-07:00,0,86.85555
2022-11-22T08:47:21.701-07:00,0,86.85555
2022-11-22T08:47:22.024-07:00,0,86.85555
2022-11-22T08:47:22.354-07:00,0,86.85555
2022-11-22T08:47:22.684-07:00,0,86.85555
2022-11-22T08:47:23.021-07:00,0,86.85555
2022-11-22T08:47:23.347-07:00,0,86.85555
2022-11-22T08:47:23.674-07:00,0,86.85555
2022-11-22T08:47:24.004-07:00,0,86.85555
2022-11-22T08:47:24.338-07:00,0,86.85554
2022-11-22T08:47:24.664-07:00,0,86.85554
2022-11-22T08:47:24.994-07:00,0,86.85554
2022-11-22T08:47:25.324-07:00,0,86.85554
2022-11-22T08:47:25.661-07:00,0,86.85554
2022-11-22T08:47:25.984-07:00,0,86.85554
2022-11-22T08:47:26.314-07:00,0,86.85554
2022-11-22T08:47:26.644-07:00,0,86.85542
2022-11-22T08:47:26.977-07:00,0,86.85542
2022-11-22T08:47:27.305-07:00,0.09143534,86.85542
2022-11-22T08:47:27.635-07:00,0.09143534,86.85542
2022-11-22T08:47:27.965-07:00,0.09143534,86.85542
2022-11-22T08:47:28.299-07:00,0.2198632,86.85542
2022-11-22T08:47:28.625-07:00,0.2198632,86.85571
2022-11-22T08:47:28.955-07:00,0.2198632,86.85571
2022-11-22T08:47:29.287-07:00,0.09425815,86.85571
2022-11-22T08:47:29.615-07:00,0.09425815,86.85614
2022-11-22T08:47:29.945-07:00,0.09425815,86.85614
2022-11-22T08:47:30.275-07:00,0,86.85614
2022-11-22T08:47:30.608-07:00,0,86.85614
2022-11-22T08:47:30.943-07:00,0,86.85645
2022-11-22T08:47:31.265-07:00,0.2481269,86.85645
2022-11-22T08:47:31.596-07:00,0.2481269,86.85645
2022-11-22T08:47:31.939-07:00,0.2481269,86.85661
2022-11-22T08:47:32.263-07:00,0.1873923,86.85661
2022-11-22T08:47:32.586-07:00,0.1873923,86.85661
2022-11-22T08:47:32.916-07:00,0.1873923,86.85696
2022-11-22T08:47:33.250-07:00,0.219326,86.85696
2022-11-22T08:47:33.578-07:00,0.219326,86.85696
2022-11-22T08:47:33.906-07:00,0.219326,86.85703
2022-11-22T08:47:34.236-07:00,0.04513556,86.85703
2022-11-22T08:47:34.578-07:00,0.04513556,86.85703
2022-11-22T08:47:34.898-07:00,0.04513556,86.85703
2022-11-22T08:47:35.226-07:00,0.157514,86.85703
2022-11-22T08:47:35.557-07:00,0.157514,86.85703
2022-11-22T08:47:35.900-07:00,0.157514,86.85703
2022-11-22T08:47:36.218-07:00,0.07270677,86.85703
2022-11-22T08:47:36.547-07:00,0.07270677,86.85703
2022-11-22T08:47:36.877-07:00,0.07270677,86.85703
2022-11-22T08:47:37.218-07:00,0.1513896,86.85734
2022-11-22T08:47:37.538-07:00,0.1513896,86.85734
2022-11-22T08:47:37.867-07:00,0.1513896,86.85734
2022-11-22T08:47:38.197-07:00,0.1715935,86.85734
2022-11-22T08:47:38.528-07:00,0.1715935,86.85734
2022-11-22T08:47:38.860-07:00,0.1715935,86.85734
2022-11-22T08:47:39.187-07:00,0.06921531,86.85734
2022-11-22T08:47:39.517-07:00,0.06921531,86.85728
2022-11-22T08:47:39.848-07:00,0.06921531,86.85728
2022-11-22T08:47:40.178-07:00,0.1243773,86.85728
2022-11-22T08:47:40.508-07:00,0.1243773,86.85728
2022-11-22T08:47:40.838-07:00,0.1243773,86.85728
2022-11-22T08:47:41.168-07:00,0.5501391,86.85728
2022-11-22T08:47:41.498-07:00,0.5501391,86.85721
2022-11-22T08:47:41.829-07:00,0.5501391,86.85721
2022-11-22T08:47:42.158-07:00,0,86.85721
2022-11-22T08:47:42.497-07:00,0,86.85719
2022-11-22T08:47:42.818-07:00,0,86.85719
2022-11-22T08:47:43.148-07:00,0,86.85719
2022-11-22T08:47:43.478-07:00,0,86.85719
2022-11-22T08:47:43.821-07:00,0,86.85719
2022-11-22T08:47:44.139-07:00,0,86.85719
2022-11-22T08:47:44.469-07:00,0,86.85719
2022-11-22T08:47:44.799-07:00,0,86.85718
2022-11-22T08:47:45.139-07:00,0,86.85718
2022-11-22T08:47:45.464-07:00,0,86.85718
2022-11-22T08:47:45.789-07:00,0,86.85718
2022-11-22T08:47:46.119-07:00,0,86.85718
2022-11-22T08:47:46.450-07:00,0,86.85718
2022-11-22T08:47:46.779-07:00,0,86.85702
2022-11-22T08:47:47.109-07:00,0,86.85702
2022-11-22T08:47:47.439-07:00,0,86.85702
2022-11-22T08:47:47.778-07:00,0,86.85702
2022-11-22T08:47:48.100-07:00,0,86.85694
2022-11-22T08:47:48.429-07:00,0,86.85694
2022-11-22T08:47:48.760-07:00,0,86.85694
2022-11-22T08:47:49.099-07:00,0,86.85686
2022-11-22T08:47:49.420-07:00,0,86.85686
2022-11-22T08:47:49.750-07:00,0,86.85686
2022-11-22T08:47:50.080-07:00,0,86.85685
2022-11-22T08:47:50.419-07:00,0,86.85685
2022-11-22T08:47:50.740-07:00,0,86.85685
2022-11-22T08:47:51.070-07:00,0,86.85685
2022-11-22T08:47:51.400-07:00,0,86.85685
2022-11-22T08:47:51.738-07:00,0,86.85685
2022-11-22T08:47:52.060-07:00,0,86.85685
2022-11-22T08:47:52.391-07:00,0,86.85683
2022-11-22T08:47:52.721-07:00,0,86.85683
2022-11-22T08:47:53.051-07:00,0,86.85683
2022-11-22T08:47:53.381-07:00,0,86.85667
2022-11-22T08:47:53.711-07:00,0,86.85667
2022-11-22T08:47:54.041-07:00,0,86.85667
2022-11-22T08:47:54.378-07:00,0,86.85666
2022-11-22T08:47:54.701-07:00,0,86.85666
2022-11-22T08:47:55.031-07:00,0,86.85666
2022-11-22T08:47:55.361-07:00,0,86.85666
2022-11-22T08:47:55.699-07:00,0,86.85666
2022-11-22T08:47:56.022-07:00,0,86.85666
2022-11-22T08:47:56.351-07:00,0,86.85658
2022-11-22T08:47:56.682-07:00,0,86.85658
2022-11-22T08:47:57.021-07:00,0,86.85658
2022-11-22T08:47:57.342-07:00,0,86.85658
2022-11-22T08:47:57.672-07:00,0,86.85654
2022-11-22T08:47:58.002-07:00,0,86.85654
2022-11-22T08:47:58.340-07:00,0,86.85654
2022-11-22T08:47:58.662-07:00,0,86.85635
2022-11-22T08:47:58.992-07:00,0,86.85635
2022-11-22T08:47:59.322-07:00,0,86.85635
2022-11-22T08:47:59.658-07:00,0,86.85628
2022-11-22T08:47:59.982-07:00,0,86.85628
2022-11-22T08:48:00.312-07:00,0,86.85628
2022-11-22T08:48:00.643-07:00,0,86.85628
2022-11-22T08:48:00.980-07:00,0,86.85628
2022-11-22T08:48:01.303-07:00,0,86.85628
2022-11-22T08:48:01.633-07:00,0,86.85628
2022-11-22T08:48:01.963-07:00,0,86.85628
2022-11-22T08:48:02.298-07:00,0,86.85628
2022-11-22T08:48:02.623-07:00,0,86.85628
2022-11-22T08:48:02.953-07:00,0,86.85619
2022-11-22T08:48:03.283-07:00,0,86.85619
2022-11-22T08:48:03.618-07:00,0,86.85619
2022-11-22T08:48:03.943-07:00,0,86.85617
2022-11-22T08:48:04.273-07:00,0,86.85617
2022-11-22T08:48:04.603-07:00,0,86.85617
2022-11-22T08:48:04.942-07:00,0,86.85619
2022-11-22T08:48:05.264-07:00,0,86.85619
2022-11-22T08:48:05.594-07:00,0,86.85619
2022-11-22T08:48:05.924-07:00,0,86.85619
2022-11-22T08:48:06.254-07:00,0,86.85619
2022-11-22T08:48:06.584-07:00,0,86.85619
2022-11-22T08:48:06.914-07:00,0,86.85619
2022-11-22T08:48:07.244-07:00,0,86.85631
